"A0002500","H0001700","H0002500","H0013700","H0014800","R0000100","R0000600","R0006500","R0006700","R0007900","R0008100","R0188000","R0214700","R0214800","R0217900","R0217910","R0223100","R0223500","R0402800","R0612100","R0828400","R1075700","R1451400","R1798600","R2160200","R2369100","R2500000","R2900000","R3100000","R3500000","R3700000","R4100300","R4500300","R5200300","R5800200","R6530300","R7090700","R7800600","T0001000","T1200800","T2260700","T3195700","T3966800","T3967300","T3977400","T3987600","T4112300","T4112500","T4113000"
445,3,-4,-4,-4,27,18,14,-4,20,-4,-4,3,2,20000,0,1,1,11,11,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,16036,191363,497763,0,16
445,-4,-4,-4,-4,28,15,14,-4,20,-4,1,3,2,20000,0,-4,-4,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,11,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,6,-4,29,18,0,-4,4,-4,-4,3,2,24200,0,-4,-4,-4,-4,-4,17,17,19,19,19,11,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,5200,37440,53410,0,12
445,-4,-4,-4,-4,30,20,-2,-4,6,-4,-4,3,2,24200,0,-4,-4,-4,-4,11,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,0,0,34084,0,12
445,-4,-4,-4,-4,31,15,9,-4,3,1,-4,1,1,5088,1,-4,1,-4,-4,-4,-4,-4,19,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11,11,-4,-4,42000,32000,74000,0,12
445,-4,-4,-4,-4,32,21,12,-4,12,-4,1,1,2,22500,0,-5,-5,-5,-4,11,11,11,19,11,11,11,11,-5,-5,16,11,11,11,-5,-5,-5,11,11,-5,11,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,33,16,12,-4,15,-4,-4,1,1,23500,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,19,19,19,19,19,-5,-5,-5,-5,11,11,11,11,-4,-4,0,-4,0,1,12
445,2,-4,-4,-4,34,20,13,-4,12,0,-4,3,1,21000,0,-4,0,-4,-4,11,11,17,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,-4,-4,53000,-4,53000,0,13
445,-4,-4,-4,-4,35,15,12,-4,12,0,-4,3,2,18000,0,-4,0,-4,-4,-4,17,17,19,19,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,1,-4,36,16,14,-4,12,-4,-4,3,1,21000,0,-4,-4,5,11,11,11,11,11,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,-4,38500,28000,66510,0,12
445,-4,-4,-4,6,37,20,12,-4,12,-4,-4,3,2,37000,0,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,44000,80000,124100,0,12
445,-4,-4,-4,6,38,16,12,-4,12,-4,-4,3,2,37000,0,-4,-4,-4,-4,-4,17,11,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,6,93000,35000,128000,0,12
445,-4,3,-4,-4,39,20,12,-4,12,-4,-4,3,1,22000,0,-5,-5,-5,11,11,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,62000,32000,94000,0,12
445,-4,-4,3,3,40,19,10,-4,12,1,-4,3,1,5500,0,1,-4,-4,11,-4,17,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,45000,80000,158110,0,14
445,-4,-4,3,3,41,16,10,-4,12,1,-4,3,1,5500,0,-4,1,-4,-4,-4,17,17,19,19,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11,3,3,130000,6500,136500,0,15
445,-4,-4,-4,-4,42,15,14,-4,12,-4,-4,3,1,21000,0,-4,-4,-4,-4,-4,-4,17,19,19,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,45000,55000,159000,0,12
445,-4,-4,-4,-4,43,17,10,-4,9,-4,-4,3,2,-2,-3,1,0,11,-4,-4,-4,11,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,0,-4,8016,1,12
445,3,-4,-4,-4,44,17,12,-4,12,-4,-4,3,2,30000,0,-4,-4,-4,11,11,-4,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11,11,11,-4,-4,-2,-1,-2,-3,12
445,-4,-4,-4,-4,45,19,9,-4,10,1,-4,3,1,15000,0,-4,1,-4,-4,11,17,17,19,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,46,16,12,-4,12,-4,-4,3,2,28000,0,-4,-4,-4,-4,3,3,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,47,20,12,-4,16,-4,-4,3,1,32388,0,-4,-4,-4,11,-4,-4,17,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,75000,90000,165000,0,12
445,-4,-4,-4,-4,48,20,12,-4,12,1,-4,3,1,9000,0,1,1,11,-5,11,11,-5,-5,-5,-5,-5,11,-5,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,49,20,12,1,12,1,11,3,2,23900,0,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,73000,60000,133115,0,14
445,5,-4,-4,-4,50,20,9,-4,10,1,-4,3,2,28000,0,-4,1,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,55000,60000,119800,0,12
445,-4,-4,-4,-4,51,16,9,-4,12,1,-4,3,1,28000,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,52,20,12,1,14,1,-3,3,1,8000,0,1,1,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,-4,-4,343830,-4,497763,0,14
445,-4,-2,-4,-4,53,15,-2,-4,4,-4,-4,1,1,15646,0,-4,-4,-4,-4,-4,-4,-4,18,6,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,-4,-4,0,-4,9960,1,12
445,3,-4,-4,1,54,20,3,-4,5,0,-4,3,1,15000,0,-4,0,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,-5,-5,-5,11,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,55,20,12,-4,12,-4,-4,3,1,12000,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,56,14,12,-4,12,-4,-4,3,2,12000,0,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,3,6,-4,57,20,12,1,12,1,11,3,2,23289,0,1,1,11,11,-4,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,30000,-4,46833,0,12
445,-4,-4,-4,-4,58,22,12,-4,17,-4,-4,3,2,50000,0,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,-4,-4,112,56000,56312,0,17
445,-4,-4,-4,-4,59,20,-2,-4,-2,-4,-4,3,1,50000,0,-4,-4,-4,-4,-4,17,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,45000,-2,-2,-3,12
445,-4,-4,-4,-4,60,17,12,-4,16,-4,-4,3,1,50000,0,-4,-4,-4,-4,-5,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,11,-4,-4,104000,87000,191000,0,12
445,3,-4,-4,3,61,16,12,-4,16,-4,-4,3,2,32000,0,-4,-4,-4,-4,-4,17,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,3,0,1500,121515,0,14
445,3,-4,-4,-4,62,14,12,-4,16,-4,-4,3,2,32000,0,-4,-4,-4,-4,-4,11,-4,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,51000,-4,59000,0,14
445,-4,-4,-4,-4,63,19,12,-4,12,-4,-4,3,1,37000,0,-4,-4,-4,3,3,17,17,11,11,11,-5,-5,-5,-5,-5,11,11,6,11,11,11,11,11,11,11,11,-4,-4,165000,155000,497763,0,16
445,-4,-4,-4,-4,64,17,15,-4,12,-4,-4,3,1,37000,0,-4,-4,3,11,-4,11,11,11,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,65,15,16,-4,12,-4,-4,3,2,37000,0,-4,-4,-4,-4,-4,17,3,19,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,3,-4,-4,66,15,12,-4,17,-4,-4,3,1,-1,-3,-4,-4,-4,-4,-4,-4,3,19,19,19,11,11,11,-5,11,11,11,11,6,-5,6,11,11,11,11,11,-4,-4,0,-4,0,1,14
445,1,-4,-4,-4,67,21,-3,-4,18,-4,1,3,1,35000,0,-4,-4,3,11,11,11,11,-5,-5,11,11,11,11,11,11,11,11,11,-5,-5,11,-5,11,11,11,11,-4,-4,343830,0,-2,-3,18
445,1,-4,-4,-4,68,16,16,-4,17,-4,-4,3,2,40000,0,-4,-4,-4,3,3,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,0,272295,497763,0,16
445,-4,-4,-4,-4,69,14,17,-4,16,-4,-4,3,1,40000,0,-4,-4,-4,-4,-4,3,3,3,3,-5,-5,-5,-5,-5,-5,11,11,11,11,11,11,11,11,11,11,11,-4,-4,145000,60000,205200,0,18
445,-4,-4,-4,-4,70,17,20,-4,16,-4,-4,3,1,-3,-3,-4,-4,-4,3,3,3,17,19,19,19,11,11,11,11,11,11,11,11,11,-5,11,11,-5,11,11,11,-4,-4,40000,-4,40000,0,18
445,-4,-4,-4,-4,71,15,17,-4,16,-4,-4,3,1,-2,-3,-4,-4,-4,-4,3,3,3,3,11,19,11,11,11,11,11,11,-5,11,11,11,-5,-5,-5,-5,11,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,72,19,14,-4,16,-4,1,3,2,-1,-3,1,1,11,-4,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,42000,-4,42025,0,16
445,-4,-4,-4,-4,73,15,16,-4,16,1,1,3,1,25000,0,-4,1,3,3,3,3,3,3,3,-5,11,11,-5,-5,-5,11,11,11,-5,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,74,19,15,1,16,1,11,3,2,-2,-3,1,1,11,-4,-4,11,17,11,19,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,75,17,14,-4,16,-4,-4,3,2,-1,-3,-4,-4,-4,3,3,3,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,115000,70000,185000,0,16
445,-4,-4,-4,-4,76,15,16,-4,16,-4,-4,3,1,-2,-3,-4,-4,-4,-4,-4,3,3,11,11,11,11,11,11,11,11,11,11,19,19,11,11,11,11,11,11,11,-4,-4,70000,80000,160000,0,14
445,3,-4,-4,-4,77,14,16,-4,16,-4,-4,3,2,-1,-3,-4,-4,-4,-4,-4,3,3,3,3,19,11,11,19,11,11,19,11,19,11,11,11,11,11,11,11,11,-4,-4,90000,-4,155000,0,16
445,-4,-4,-4,-4,78,21,16,-4,18,-4,-4,3,2,32000,0,-4,-4,-4,-4,-4,-4,17,19,19,19,11,11,11,11,11,11,11,11,6,11,-5,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,79,18,16,-4,18,-4,1,3,1,35000,0,-4,-4,3,3,3,3,3,19,19,11,19,11,11,11,11,11,11,11,11,16,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,80,15,14,-4,20,-4,-4,3,1,-1,-3,-4,-4,-4,-4,-4,17,-5,11,-5,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,23000,-4,32500,0,19
445,-4,-4,-4,-4,81,14,12,-4,20,-4,-4,3,1,-1,-3,-4,-4,-4,-4,-4,17,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-2,-4,-4,-4,82,20,-2,-4,-2,-4,-4,2,1,-1,-3,-4,-4,-4,-4,-5,-5,-5,19,19,-5,19,5,5,5,5,5,5,11,11,16,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,5,-4,-4,83,18,6,-4,-2,-4,-4,2,1,22426,0,-4,-4,5,-4,-4,17,-4,19,19,19,5,5,19,19,11,19,19,11,19,19,11,19,19,11,11,19,-4,-4,0,-4,-2,-3,10
445,-4,4,-4,-4,84,15,-2,-4,12,-4,-4,2,1,22426,0,-4,-4,-4,-4,-4,17,-4,5,5,5,5,5,15,19,19,5,5,5,5,19,11,19,19,11,11,19,-4,-4,0,-4,18000,1,12
445,2,-4,-4,-4,85,19,11,-4,11,-4,-4,2,1,12475,0,-4,-4,-4,11,11,5,11,11,19,-5,19,5,5,5,11,5,5,-5,19,19,19,11,19,11,11,5,-4,-4,0,-4,4800,1,11
445,1,-4,-4,-4,86,18,9,-4,9,1,11,2,2,1688,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,19,19,11,11,11,11,11,-4,-4,22000,-4,22000,0,9
445,1,-4,-4,-4,87,15,11,-4,12,-4,-4,2,1,12475,0,-4,-4,-4,-4,-4,17,-5,19,18,19,19,19,11,19,11,19,11,11,11,6,19,11,11,11,11,11,-4,-4,24000,-4,24000,0,12
445,-4,-4,-4,3,88,21,12,-4,12,1,-4,2,1,-2,-3,-4,1,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,25000,33000,62296,0,16
445,-4,-4,-4,-4,89,20,12,-4,12,-4,1,2,2,29000,0,-4,-4,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,90,20,5,-4,4,-4,-4,3,1,-2,-3,-4,-4,-4,11,-4,17,11,11,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,120000,52000,173000,0,16
445,-4,-4,-4,-4,91,15,5,-4,3,-4,-4,3,2,-2,-3,-4,-4,-4,-4,-4,11,17,11,11,11,11,11,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,-4,-4,22000,45000,67000,0,16
445,-4,-4,-4,-4,92,16,12,-4,12,-4,-4,3,2,-1,-3,-4,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,36000,-4,36384,0,12
445,-4,3,-4,-4,93,14,-2,-4,-2,-4,-4,3,1,8000,0,-4,-4,-4,-4,-4,-4,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,87000,-4,87000,0,12
445,-4,-4,6,-4,94,22,10,-4,10,-4,-4,3,1,24000,0,-4,-4,-4,-4,-4,-4,17,19,11,11,-5,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,11,-4,-4,44000,0,45320,0,10
445,-4,-4,3,-4,95,18,10,-4,-2,-4,-4,3,2,24000,0,-4,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,50000,-4,50000,0,12
445,1,3,-4,-4,96,17,6,1,-2,1,11,3,2,3000,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,50000,-4,52000,0,12
445,4,-4,-4,-4,97,21,12,1,11,1,11,3,2,8000,0,1,1,11,11,11,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,0,65000,65008,0,14
445,3,-4,-4,-4,98,21,17,1,14,1,11,3,2,6618,0,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,0,0,16440,1,13
445,-4,-4,3,3,99,21,12,-4,16,-4,-4,3,2,22500,0,-4,-4,-4,-5,11,-5,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,35000,-4,41000,0,14
445,-4,1,-4,-4,100,15,-2,-4,-2,0,-4,3,2,5904,0,-4,0,-4,-4,-4,11,-5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,80000,-4,81000,0,12
445,4,4,-4,-4,101,20,10,-4,6,-4,-4,3,1,15000,0,-4,-4,-4,-4,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-5,-5,11,-5,-5,11,-5,-5,-5,-5,-5,-5,-5,-5
445,1,-2,-4,-4,102,14,10,-4,5,-4,-4,3,2,15000,0,-4,-4,-4,-4,-4,-4,-4,19,18,19,11,19,19,11,11,11,11,11,11,-5,11,11,11,11,11,11,-4,-4,-1,0,-1,-3,16
445,1,3,-4,-4,103,20,11,-4,-3,-4,-4,3,1,16400,0,-4,-4,-4,-4,-4,11,17,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,-4,-4,100000,-4,125800,0,18
445,-4,-4,-4,-4,104,20,12,-4,-2,-4,-4,3,2,-1,-3,-4,-4,-4,-4,-4,17,11,-5,-5,-5,-5,-5,-5,-5,-5,11,11,11,19,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,-4,-4,-4,-4,105,20,12,-4,12,1,-4,3,2,28000,0,-4,1,-4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,-5,11,11,11,11,11,-4,-4,54000,-4,70000,0,12
445,-1,-4,-4,-4,106,18,12,-4,9,0,-4,3,1,11000,0,-4,0,-4,-4,-4,11,17,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,125000,0,136000,0,16
445,-4,-4,6,6,107,17,11,-4,9,-4,-4,3,1,25000,0,-4,-4,-4,-4,-4,-4,-4,18,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,54000,35000,89200,0,16
445,-4,-4,-4,6,108,20,11,-4,8,-4,-4,3,1,25000,0,-4,-4,-4,-4,-4,-4,-4,18,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,60000,60000,120100,0,20
445,-4,-4,-4,-4,109,16,-3,-4,-3,-4,-4,3,2,18000,0,-4,-4,-4,-4,-4,-4,17,19,19,19,19,19,19,11,11,11,11,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,1,-4,-4,-4,110,21,-2,-4,12,-4,-4,3,1,-2,-3,-4,-4,-4,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,90000,40000,130000,0,13
445,1,-4,-4,-4,111,19,11,-4,10,-4,-4,3,2,-2,-3,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-4,-4,40000,50000,140000,0,12
445,1,-4,-4,-4,112,15,12,-4,8,-4,-4,3,2,-2,-3,-4,-4,-4,-4,11,11,11,19,11,19,19,19,11,11,11,11,11,11,11,-5,11,11,11,11,11,11,-4,-4,32000,-4,75200,0,12
